function_name,execution_time,memory_used_mb,memory_peak_mb,timestamp
model_fitting,0.013857364654541016,0.0078125,145.0703125,2025-07-27 08:18:05.243597
model_fitting,0.01214599609375,0.0078125,145.08203125,2025-07-27 08:18:05.267255
model_fitting,0.013822317123413086,0.00390625,145.0859375,2025-07-27 08:18:05.289170
model_fitting,0.009913444519042969,0.00390625,145.09375,2025-07-27 08:18:05.309063
model_fitting,0.008954524993896484,0.0,145.09375,2025-07-27 08:18:05.328817
model_fitting,0.01162576675415039,0.01953125,145.1171875,2025-07-27 08:18:05.350238
model_fitting,0.01328277587890625,0.03125,145.15234375,2025-07-27 08:18:05.370772
model_fitting,0.013476371765136719,0.0,145.15234375,2025-07-27 08:18:05.391486
model_fitting,0.009206056594848633,0.00390625,145.15625,2025-07-27 08:18:05.412214
model_fitting,0.012938976287841797,0.00390625,145.1640625,2025-07-27 08:18:05.436107
model_fitting,0.014805078506469727,0.015625,145.18359375,2025-07-27 08:18:05.458061
model_fitting,0.011966705322265625,0.0390625,145.22265625,2025-07-27 08:18:05.482889
model_fitting,0.012006998062133789,0.0,145.22265625,2025-07-27 08:18:05.502627
model_fitting,0.014116048812866211,0.00390625,145.2265625,2025-07-27 08:18:05.523805
model_fitting,0.009135723114013672,0.00390625,145.234375,2025-07-27 08:18:05.544384
model_fitting,0.011592626571655273,0.03515625,145.2734375,2025-07-27 08:18:05.565985
model_fitting,0.016515731811523438,0.03125,145.3046875,2025-07-27 08:18:05.590841
model_fitting,0.012213945388793945,0.0,145.3046875,2025-07-27 08:18:05.617184
model_fitting,0.01297450065612793,0.0,145.30859375,2025-07-27 08:18:05.637321
model_fitting,0.012987852096557617,0.0078125,145.31640625,2025-07-27 08:18:05.657385
model_fitting,0.009472131729125977,0.00390625,145.32421875,2025-07-27 08:18:05.679401
model_fitting,0.013430118560791016,0.0,145.328125,2025-07-27 08:18:05.703658
model_fitting,0.012615442276000977,0.0,145.328125,2025-07-27 08:18:05.722955
model_fitting,0.010923624038696289,0.00390625,145.33203125,2025-07-27 08:18:05.744408
model_fitting,0.013392448425292969,0.0078125,145.34375,2025-07-27 08:18:05.770357
model_fitting,0.010458946228027344,0.01171875,145.359375,2025-07-27 08:18:05.793209
model_fitting,0.013103723526000977,0.00390625,145.36328125,2025-07-27 08:18:05.817680
model_fitting,0.015278339385986328,0.0,145.36328125,2025-07-27 08:18:05.840837
model_fitting,0.009246587753295898,0.00390625,146.15234375,2025-07-27 08:18:08.014277
model_fitting,0.02125859260559082,0.00390625,146.16015625,2025-07-27 08:18:08.046668
model_fitting,0.01412200927734375,0.00390625,146.1640625,2025-07-27 08:18:08.073244
model_fitting,0.008927106857299805,0.0,146.16796875,2025-07-27 08:18:08.093946
model_fitting,0.010415077209472656,0.01953125,146.1875,2025-07-27 08:18:08.114421
model_fitting,0.021934986114501953,0.03125,146.22265625,2025-07-27 08:18:08.152848
model_fitting,0.021961212158203125,0.01171875,146.23828125,2025-07-27 08:18:08.188415
model_fitting,0.014481782913208008,0.0,146.23828125,2025-07-27 08:18:08.219876
model_fitting,0.016254901885986328,0.0078125,146.24609375,2025-07-27 08:18:08.242748
model_fitting,0.021856307983398438,0.0,146.25,2025-07-27 08:18:08.277990
model_fitting,0.021016597747802734,0.0078125,146.26171875,2025-07-27 08:18:08.314087
model_fitting,0.024010181427001953,0.04296875,146.3046875,2025-07-27 08:18:08.358263
model_fitting,0.01867389678955078,0.00390625,146.30859375,2025-07-27 08:18:08.392945
model_fitting,0.019538402557373047,0.0,146.31640625,2025-07-27 08:18:08.427518
model_fitting,0.01743340492248535,0.0078125,146.328125,2025-07-27 08:18:08.460027
model_fitting,0.014090299606323242,0.015625,146.34375,2025-07-27 08:18:08.487603
model_fitting,0.01337742805480957,0.0390625,146.38671875,2025-07-27 08:18:08.508589
