entry_date,exit_date,entry_price,exit_price,direction,pnl,holding_period
2024-04-02,2024-07-08,110.45001888211303,96.1520930103121,long,-200.170962205213,66
2024-05-17,2024-07-08,161.3165139650101,139.8284317601539,short,-75.2082877169967,33
2024-04-02,2024-04-19,576.1871820573434,613.3776165739298,long,520.6660832322093,13
2024-05-15,2024-05-31,626.3257033410683,601.8832970055377,short,85.54842217435737,11
2024-04-02,2024-04-18,569.1523569333501,597.0170920350582,long,390.1062914239135,12
2024-05-09,2024-05-31,618.2866451731838,604.7776109321431,short,47.28161984364243,15
2024-04-02,2024-04-23,215.80730085099964,245.45348455855574,long,415.04657190578547,15
2024-05-03,2024-05-10,219.8813874983701,240.7369361828636,short,72.99442039572725,5
2024-05-29,2024-06-13,223.08787133810685,233.5812044723303,short,36.72666596978212,11
2024-06-18,2024-06-28,213.35997707203717,235.5839413539315,short,155.56774997326028,7
2024-07-05,2024-07-08,216.05548420605044,216.8703519971042,short,2.85203726868815,1
2024-04-02,2024-04-11,-11.125680729173595,-10.12934773187245,short,3.487165490554009,7
2024-04-25,2024-07-08,-8.026529222950035,-2.2950766067880295,short,-80.24033662626809,49
2024-04-12,2024-06-12,130.6419959027154,129.7899677280173,short,-2.9820986114433197,42
2024-06-20,2024-07-03,132.5289777532893,128.78070110150708,short,13.11896828123777,9
2024-07-05,2024-07-08,130.96025420515647,129.2163326254385,short,6.1037255290129195,1
2024-04-03,2024-06-21,101.80639506060272,98.08774620278678,short,-13.015271002355824,55
2024-07-03,2024-07-08,95.00629530342604,94.73600531675444,short,-0.9460149533505984,2
2024-04-02,2024-05-15,149.77202364542893,149.4152145895788,short,-2.4976633909509474,31
2024-05-28,2024-06-06,144.35806138341155,147.4441845736826,short,10.801431165948685,7
2024-06-07,2024-06-12,150.574523071533,146.86265337644915,short,12.991543932793519,3
2024-06-20,2024-07-01,150.31653553223805,147.19488255898415,short,10.925785406388655,7
2024-04-12,2024-04-23,742.9954017705826,756.534262158228,short,47.3860113567589,7
2024-05-03,2024-05-29,779.7539909081626,766.064171894538,short,95.8287330953716,17
2024-07-02,2024-07-08,742.953830153113,745.774029618783,short,9.870698129844754,3
2024-04-03,2024-04-12,120.3398294650973,110.18082627608061,short,35.556511161558404,7
2024-05-15,2024-07-08,118.12799379312389,61.02760394279795,short,199.8513644761408,35
2024-04-15,2024-05-07,177.78124902211957,180.3447266721479,short,8.972171775099213,16
2024-05-09,2024-05-29,183.95201310554683,182.44524773712305,short,5.273678789483199,13
2024-05-31,2024-07-08,187.10446240919057,196.6174463949641,short,-33.29544395020736,24
2024-04-03,2024-05-09,118.57774595960109,117.77049787715096,short,-2.8253682885754543,26
2024-05-16,2024-05-23,125.2625825627736,117.80821396073142,short,26.09029010714763,5
2024-06-04,2024-07-08,124.66216995845083,130.1622555720823,short,-38.50059929542029,22
2024-04-03,2024-05-10,140.42922155754565,140.5369393893839,short,0.3770124114338529,27
2024-05-16,2024-05-22,145.9885619089921,141.12767639939335,short,17.013099283595608,4
